G1000|Alice Tan|980101-14-1234|012-3456789|alice@test.com|DIAMOND
G1001|Bob Lim|950202-10-5678|019-8765432|bob@test.com|GOLD
G1002|Charlie Brown|900303-08-9012|011-11112222|charlie@brown.com|STANDARD
G1003|asd|121212212121|121212112|w@gmail.com|STANDARD
G1004|asd|121212121212|1212121212|s@gmail.com|STANDARD
G1005|asd|121212121212|121212212|2@gmail.com|STANDARD
G1006|qwe|1212121212|12121212|s@gmailc.com|STANDARD
G1007|das|12312312312|12312312|2@gmail.com|STANDARD
G1008|qwe|123123123|1231232131|2@gmail.com|GOLD
G1009|eqweqw|12312321321321|1232131321|2@gmail.com|GOLD
G1010|soh|121212121212|187604398|so@gmail.com|GOLD
G1011|joeyy|090909-09-0909|0199999999|joeyy@gmail.com|SILVER
